1fc0033c:   35 08 c2 68         ORI $t0, $t0, 0xc268
1fc00340:   24 09 56 f8         ADDIU $t1, $zero, 0x56f8
1fc00344:   21 10 56 f8         ADDI $s0, $t0, 0x56f8
1fc00348:   3c 12 85 da         LUI $s2, 0x85da
1fc0034c:   36 52 19 60         ORI $s2, $s2, 0x1960
1fc00350:   16 12 08 34         BNE $s2, 0x0834
1fc00354:   00 00 00 00         NOP
1fc00358:   3c 08 bd b8         LUI $t0, 0xbdb8
1fc0035c:   35 08 2b d1         ORI $t0, $t0, 0x2bd1
1fc00360:   24 09 4b 50         ADDIU $t1, $zero, 0x4b50
1fc00364:   21 10 4b 50         ADDI $s0, $t0, 0x4b50
1fc00368:   3c 12 bd b8         LUI $s2, 0xbdb8
1fc0036c:   36 52 77 21         ORI $s2, $s2, 0x7721
1fc00370:   16 12 08 2c         BNE $s2, 0x082c
1fc00374:   00 00 00 00         NOP
1fc00378:   3c 08 61 44         LUI $t0, 0x6144
1fc0037c:   35 08 73 54         ORI $t0, $t0, 0x7354
1fc00380:   34 09 b7 e0         ORI $t1, $zero, 0xb7e0
1fc00384:   21 10 b7 e0         ADDI $s0, $t0, 0xb7e0
1fc00388:   3c 12 61 44         LUI $s2, 0x6144
1fc0038c:   36 52 2b 34         ORI $s2, $s2, 0x2b34
1fc00390:   16 12 08 24         BNE $s2, 0x0824
1fc00394:   00 00 00 00         NOP
1fc00398:   3c 08 c6 b1         LUI $t0, 0xc6b1
1fc0039c:   35 08 10 00         ORI $t0, $t0, 0x1000
1fc003a0:   34 09 90 d4         ORI $t1, $zero, 0x90d4
1fc003a4:   21 10 90 d4         ADDI $s0, $t0, 0x90d4
1fc003a8:   3c 12 c6 b0         LUI $s2, 0xc6b0
1fc003ac:   36 52 a0 d4         ORI $s2, $s2, 0xa0d4
1fc003b0:   16 12 08 1c         BNE $s2, 0x081c
1fc003b4:   00 00 00 00         NOP
1fc003b8:   3c 08 af d1         LUI $t0, 0xafd1
1fc003bc:   35 08 2b a4         ORI $t0, $t0, 0x2ba4
1fc003c0:   24 09 16 12         ADDIU $t1, $zero, 0x1612
1fc003c4:   21 10 16 12         ADDI $s0, $t0, 0x1612
1fc003c8:   3c 12 af d1         LUI $s2, 0xafd1
1fc003cc:   36 52 41 b6         ORI $s2, $s2, 0x41b6
1fc003d0:   16 12 08 14         BNE $s2, 0x0814
1fc003d4:   00 00 00 00         NOP
1fc003d8:   3c 08 9c c9         LUI $t0, 0x9cc9
1fc003dc:   35 08 c1 d0         ORI $t0, $t0, 0xc1d0
